%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0126"
"11085","41203.28125","+0","0","","&B10000000","&B00000000"
"11086","41203.2847222222","+0","0","","&B10000000","&B00000000"
"11087","41203.2881944444","+0","0","","&B10000000","&B00000000"
"11088","41203.2916666667","+0","0","","&B10000000","&B00000000"
"11089","41203.2951388889","+0","0","","&B10000000","&B00000000"
"11090","41203.2986111111","+0","0","","&B10000000","&B00000000"
"11091","41203.3020833333","+0","0","","&B10000000","&B00000000"
"11092","41203.3055555556","+0","0","","&B10000000","&B00000000"
"11093","41203.3090277778","+0","0","","&B10000000","&B00000000"
"11094","41203.3125","+0","0","","&B10000000","&B00000000"
"11095","41203.3159722222","+0","0","","&B10000000","&B00000000"
"11096","41203.3194444444","+0","0","","&B10000000","&B00000000"
"11097","41203.3229166667","+0","0","","&B10000000","&B00000000"
"11098","41203.3263888889","+0","0","","&B10000000","&B00000000"
"11099","41203.3298611111","+0","0","","&B10000000","&B00000000"
"11100","41203.3333333333","+0","0","","&B10000000","&B00000000"
"11101","41203.3368055556","+0","0","","&B10000000","&B00000000"
"11102","41203.3402777778","+0","0","","&B10000000","&B00000000"
"11103","41203.34375","+0","0","","&B10000000","&B00000000"
"11104","41203.3472222222","+0","0","","&B10000000","&B00000000"
"11105","41203.3506944444","+0","0","","&B10000000","&B00000000"
"11106","41203.3541666667","+0","0","","&B10000000","&B00000000"
"11107","41203.3576388889","+0","0","","&B10000000","&B00000000"
"11108","41203.3611111111","+0","0","","&B10000000","&B00000000"
"11109","41203.3645833333","+0","0","","&B10000000","&B00000000"
"11110","41203.3680555556","+0","0","","&B10000000","&B00000000"
"11111","41203.3715277778","+0","0","","&B10000000","&B00000000"
"11112","41203.375","+0","0","","&B10000000","&B00000000"
"11113","41203.3784722222","+0","0","","&B10000000","&B00000000"
"11114","41203.3819444444","+0","0","","&B10000000","&B00000000"
"11115","41203.3854166667","+0","0","","&B10000000","&B00000000"
"11116","41203.3888888889","+0","0","","&B10000000","&B00000000"
"11117","41203.3923611111","+0","0","","&B10000000","&B00000000"
"11118","41203.3958333333","+0","0","","&B10000000","&B00000000"
"11119","41203.3993055556","+0","0","","&B10000000","&B00000000"
"11120","41203.4027777778","+0.005","0","","&B10000000","&B00000000"
"11121","41203.40625","+0.005","0","","&B10000000","&B00000000"
"11122","41203.4097222222","+0.005","0","","&B10000000","&B00000000"
"11123","41203.4131944444","+0.005","0","","&B10000000","&B00000000"
"11124","41203.4166666667","+0.005","0","","&B10000000","&B00000000"
"11125","41203.4201388889","+0.005","0","","&B10000000","&B00000000"
"11126","41203.4236111111","+0.005","0","","&B10000000","&B00000000"
"11127","41203.4270833333","+0.005","0","","&B10000000","&B00000000"
"11128","41203.4305555556","+0.005","0","","&B10000000","&B00000000"
"11129","41203.4340277778","+0.005","0","","&B10000000","&B00000000"
"11130","41203.4375","+0.005","0","","&B10000000","&B00000000"
"11131","41203.4409722222","+0.005","0","","&B10000000","&B00000000"
"11132","41203.4444444444","+0.005","0","","&B10000000","&B00000000"
"11133","41203.4479166667","+0.07","0","","&B10000000","&B00000000"
"11134","41203.4513888889","+0.05","0","","&B10000000","&B00000000"
"11135","41203.4548611111","+0.05","0","","&B10000000","&B00000000"
"11136","41203.4583333333","+0.03","0","","&B10000000","&B00000000"
"11137","41203.4618055556","+0.025","0","","&B10000000","&B00000000"
"11138","41203.4652777778","+0.035","0","","&B10000000","&B00000000"
"11139","41203.46875","+0.03","0","","&B10000000","&B00000000"
"11140","41203.4722222222","+0.03","0","","&B10000000","&B00000000"
"11141","41203.4756944444","+0.045","0","","&B10000000","&B00000000"
"11142","41203.4791666667","+0.045","0","","&B10000000","&B00000000"
"11143","41203.4826388889","+0.025","0","","&B10000000","&B00000000"
"11144","41203.4861111111","+0.025","0","","&B10000000","&B00000000"
"11145","41203.4895833333","+0.03","0","","&B10000000","&B00000000"
"11146","41203.4930555556","+0.035","0","","&B10000000","&B00000000"
"11147","41203.4965277778","+0.035","0","","&B10000000","&B00000000"
"11148","41203.5","+0.04","0","","&B10000000","&B00000000"
"11149","41203.5034722222","+0.055","0","","&B10000000","&B00000000"
"11150","41203.5069444444","+0.065","0","","&B10000000","&B00000000"
"11151","41203.5104166667","+0.075","0","","&B10000000","&B00000000"
"11152","41203.5138888889","+0.085","0","","&B10000000","&B00000000"
"11153","41203.5173611111","+0.11","0","","&B10000000","&B00000000"
"11154","41203.5208333333","+0.085","0","","&B10000000","&B00000000"
"11155","41203.5243055556","+0.095","0","","&B10000000","&B00000000"
"11156","41203.5277777778","+0.1","0","","&B10000000","&B00000000"
"11157","41203.53125","+0.105","0","","&B10000000","&B00000000"
"11158","41203.5347222222","+0.105","0","","&B10000000","&B00000000"
"11159","41203.5381944444","+0.085","0","","&B10000000","&B00000000"
"11160","41203.5416666667","+0.09","0","","&B10000000","&B00000000"
"11161","41203.5451388889","+0.085","0","","&B10000000","&B00000000"
"11162","41203.5486111111","+0.085","0","","&B10000000","&B00000000"
"11163","41203.5520833333","+0.09","0","","&B10000000","&B00000000"
"11164","41203.5555555556","+0.12","0","","&B10000000","&B00000000"
"11165","41203.5590277778","+0.13","0","","&B10000000","&B00000000"
"11166","41203.5625","+0.125","0","","&B10000000","&B00000000"
"11167","41203.5659722222","+0.105","0","","&B10000000","&B00000000"
"11168","41203.5694444444","+0.105","0","","&B10000000","&B00000000"
"11169","41203.5729166667","+0.105","0","","&B10000000","&B00000000"
"11170","41203.5763888889","+0.09","0","","&B10000000","&B00000000"
"11171","41203.5798611111","+0.085","0","","&B10000000","&B00000000"
"11172","41203.5833333333","+0.09","0","","&B10000000","&B00000000"
"11173","41203.5868055556","+0.09","0","","&B10000000","&B00000000"
"11174","41203.5902777778","+0.085","0","","&B10000000","&B00000000"
"11175","41203.59375","+0.095","0","","&B10000000","&B00000000"
"11176","41203.5972222222","+0.09","0","","&B10000000","&B00000000"
"11177","41203.6006944444","+0.08","0","","&B10000000","&B00000000"
"11178","41203.6041666667","+0.075","0","","&B10000000","&B00000000"
"11179","41203.6076388889","+0.085","0","","&B10000000","&B00000000"
"11180","41203.6111111111","+0.085","0","","&B10000000","&B00000000"
"11181","41203.6145833333","+0.075","0","","&B10000000","&B00000000"
"11182","41203.6180555556","+0.095","0","","&B10000000","&B00000000"
"11183","41203.6215277778","+0.085","0","","&B10000000","&B00000000"
"11184","41203.625","+0.08","0","","&B10000000","&B00000000"
"11185","41203.6284722222","+0.07","0","","&B10000000","&B00000000"
"11186","41203.6319444444","+0.075","0","","&B10000000","&B00000000"
"11187","41203.6354166667","+0.08","0","","&B10000000","&B00000000"
"11188","41203.6388888889","+0.085","0","","&B10000000","&B00000000"
"11189","41203.6423611111","+0.115","0","","&B10000000","&B00000000"
"11190","41203.6458333333","+0.095","0","","&B10000000","&B00000000"
"11191","41203.6493055556","+0.12","0","","&B10000000","&B00000000"
"11192","41203.6527777778","+0.105","0","","&B10000000","&B00000000"
"11193","41203.65625","+0.095","0","","&B10000000","&B00000000"
"11194","41203.6597222222","+0.1","0","","&B10000000","&B00000000"
"11195","41203.6631944444","+0.095","0","","&B10000000","&B00000000"
"11196","41203.6666666667","+0.07","0","","&B10000000","&B00000000"
"11197","41203.6701388889","+0.065","0","","&B10000000","&B00000000"
"11198","41203.6736111111","+0.07","0","","&B10000000","&B00000000"
"11199","41203.6770833333","+0.06","0","","&B10000000","&B00000000"
"11200","41203.6805555556","+0.055","0","","&B10000000","&B00000000"
"11201","41203.6840277778","+0.06","0","","&B10000000","&B00000000"
"11202","41203.6875","+0.045","0","","&B10000000","&B00000000"
"11203","41203.6909722222","+0.04","0","","&B10000000","&B00000000"
"11204","41203.6944444444","+0.035","0","","&B10000000","&B00000000"
"11205","41203.6979166667","+0.035","0","","&B10000000","&B00000000"
"11206","41203.7013888889","+0.035","0","","&B10000000","&B00000000"
"11207","41203.7048611111","+0.025","0","","&B10000000","&B00000000"
"11208","41203.7083333333","+0.015","0","","&B10000000","&B00000000"
"11209","41203.7118055556","+0.005","0","","&B10000000","&B00000000"
"11210","41203.7152777778","+0","0","","&B10000000","&B00000000"
"11211","41203.71875","+0","0","","&B10000000","&B00000000"
"11212","41203.7222222222","+0","0","","&B10000000","&B00000000"
"11213","41203.7256944444","+0","0","","&B10000000","&B00000000"
"11214","41203.7291666667","+0","0","","&B10000000","&B00000000"
"11215","41203.7326388889","+0","0","","&B10000000","&B00000000"
"11216","41203.7361111111","-0.005","0","","&B10000000","&B00000000"
"11217","41203.7395833333","-0.005","0","","&B10000000","&B00000000"
"11218","41203.7430555556","+0","0","","&B10000000","&B00000000"
"11219","41203.7465277778","+0","0","","&B10000000","&B00000000"
"11220","41203.75","+0","0","","&B10000000","&B00000000"
"11221","41203.7534722222","+0","0","","&B10000000","&B00000000"
"11222","41203.7569444444","+0","0","","&B10000000","&B00000000"
"11223","41203.7604166667","+0","0","","&B10000000","&B00000000"
"11224","41203.7638888889","-0.005","0","","&B10000000","&B00000000"
"11225","41203.7673611111","+0","0","","&B10000000","&B00000000"
"11226","41203.7708333333","+0","0","","&B10000000","&B00000000"
"11227","41203.7743055556","+0","0","","&B10000000","&B00000000"
"11228","41203.7777777778","+0","0","","&B10000000","&B00000000"
"11229","41203.78125","+0","0","","&B10000000","&B00000000"
"11230","41203.7847222222","+0","0","","&B10000000","&B00000000"
"11231","41203.7881944444","+0","0","","&B10000000","&B00000000"
"11232","41203.7916666667","+0","0","","&B10000000","&B00000000"
"11233","41203.7951388889","+0","0","","&B10000000","&B00000000"
"11234","41203.7986111111","+0","0","","&B10000000","&B00000000"
"11235","41203.8020833333","+0","0","","&B10000000","&B00000000"
"11236","41203.8055555556","+0","0","","&B10000000","&B00000000"
"11237","41203.8090277778","+0","0","","&B10000000","&B00000000"
"11238","41203.8125","+0","0","","&B10000000","&B00000000"
"11239","41203.8159722222","+0","0","","&B10000000","&B00000000"
"11240","41203.8194444444","+0","0","","&B10000000","&B00000000"
"11241","41203.8229166667","+0","0","","&B10000000","&B00000000"
"11242","41203.8263888889","+0","0","","&B10000000","&B00000000"
"11243","41203.8298611111","+0","0","","&B10000000","&B00000000"
"11244","41203.8333333333","+0","0","","&B10000000","&B00000000"
"11245","41203.8368055556","+0","0","","&B10000000","&B00000000"
"11246","41203.8402777778","+0","0","","&B10000000","&B00000000"
"11247","41203.84375","+0","0","","&B10000000","&B00000000"
"11248","41203.8472222222","+0","0","","&B10000000","&B00000000"
"11249","41203.8506944444","+0","0","","&B10000000","&B00000000"
"11250","41203.8541666667","+0","0","","&B10000000","&B00000000"
"11251","41203.8576388889","+0","0","","&B10000000","&B00000000"
"11252","41203.8611111111","+0","0","","&B10000000","&B00000000"
"11253","41203.8645833333","+0","0","","&B10000000","&B00000000"
"11254","41203.8680555556","+0","0","","&B10000000","&B00000000"
"11255","41203.8715277778","+0","0","","&B10000000","&B00000000"
"11256","41203.875","+0","0","","&B10000000","&B00000000"
"11257","41203.8784722222","+0","0","","&B10000000","&B00000000"
"11258","41203.8819444444","+0","0","","&B10000000","&B00000000"
"11259","41203.8854166667","+0","0","","&B10000000","&B00000000"
"11260","41203.8888888889","+0","0","","&B10000000","&B00000000"
"11261","41203.8923611111","+0","0","","&B10000000","&B00000000"
"11262","41203.8958333333","+0","0","","&B10000000","&B00000000"
"11263","41203.8993055556","+0","0","","&B10000000","&B00000000"
"11264","41203.9027777778","+0.1","0","","&B10000000","&B00000000"
"11265","41203.90625","+0.18","0","","&B10000000","&B00000000"
"11266","41203.9097222222","+0.305","0","","&B10000000","&B00000000"
"11267","41203.9131944444","+0.23","0","","&B10000000","&B00000000"
"11268","41203.9166666667","+0.23","0","","&B10000000","&B00000000"
"11269","41203.9201388889","+0.235","0","","&B10000000","&B00000000"
"11270","41203.9236111111","+0.205","0","","&B10000000","&B00000000"
"11271","41203.9270833333","+0.2","0","","&B10000000","&B00000000"
"11272","41203.9305555556","+0.13","0","","&B10000000","&B00000000"
"11273","41203.9340277778","+0.21","0","","&B10000000","&B00000000"
"11274","41203.9375","+0.23","0","","&B10000000","&B00000000"
"11275","41203.9409722222","+0.345","0","","&B10000000","&B00000000"
"11276","41203.9444444444","+0.33","0","","&B10000000","&B00000000"
"11277","41203.9479166667","+0.275","0","","&B10000000","&B00000000"
"11278","41203.9513888889","+0.27","0","","&B10000000","&B00000000"
"11279","41203.9548611111","+0.195","0","","&B10000000","&B00000000"
"11280","41203.9583333333","+0.135","0","","&B10000000","&B00000000"
"11281","41203.9618055556","+0.07","0","","&B10000000","&B00000000"
"11282","41203.9652777778","+0","0","","&B10000000","&B00000000"
"11283","41203.96875","+0","0","","&B10000000","&B00000000"
"11284","41203.9722222222","+0","0","","&B10000000","&B00000000"
"11285","41203.9756944444","+0","0","","&B10000000","&B00000000"
"11286","41203.9791666667","+0","0","","&B10000000","&B00000000"
"11287","41203.9826388889","+0","0","","&B10000000","&B00000000"
"11288","41203.9861111111","+0","0","","&B10000000","&B00000000"
"11289","41203.9895833333","+0","0","","&B10000000","&B00000000"
"11290","41203.9930555556","+0","0","","&B10000000","&B00000000"
"11291","41203.9965277778","+0","0","","&B10000000","&B00000000"
"11292","41204","+0","0","","&B10000000","&B00000000"
"11293","41204.0034722222","+0","0","","&B10000000","&B00000000"
"11294","41204.0069444444","+0","0","","&B10000000","&B00000000"
"11295","41204.0104166667","-0.005","0","","&B10000000","&B00000000"
"11296","41204.0138888889","+0.085","0","","&B10000000","&B00000000"
"11297","41204.0173611111","+0.025","0","","&B10000000","&B00000000"
"11298","41204.0208333333","+0.075","0","","&B10000000","&B00000000"
"11299","41204.0243055556","+0.055","0","","&B10000000","&B00000000"
"11300","41204.0277777778","+0.045","0","","&B10000000","&B00000000"
"11301","41204.03125","+0.02","0","","&B10000000","&B00000000"
"11302","41204.0347222222","+0.035","0","","&B10000000","&B00000000"
"11303","41204.0381944444","+0.02","0","","&B10000000","&B00000000"
"11304","41204.0416666667","+0.02","0","","&B10000000","&B00000000"
"11305","41204.0451388889","+0.005","0","","&B10000000","&B00000000"
"11306","41204.0486111111","+0","0","","&B10000000","&B00000000"
"11307","41204.0520833333","+0","0","","&B10000000","&B00000000"
"11308","41204.0555555556","+0","0","","&B10000000","&B00000000"
"11309","41204.0590277778","+0","0","","&B10000000","&B00000000"
"11310","41204.0625","+0","0","","&B10000000","&B00000000"
"11311","41204.0659722222","+0","0","","&B10000000","&B00000000"
"11312","41204.0694444444","+0","0","","&B10000000","&B00000000"
"11313","41204.0729166667","+0","0","","&B10000000","&B00000000"
"11314","41204.0763888889","+0","0","","&B10000000","&B00000000"
"11315","41204.0798611111","+0","0","","&B10000000","&B00000000"
"11316","41204.0833333333","+0","0","","&B10000000","&B00000000"
"11317","41204.0868055556","+0","0","","&B10000000","&B00000000"
"11318","41204.0902777778","+0","0","","&B10000000","&B00000000"
"11319","41204.09375","+0","0","","&B10000000","&B00000000"
"11320","41204.0972222222","+0","0","","&B10000000","&B00000000"
"11321","41204.1006944444","+0","0","","&B10000000","&B00000000"
"11322","41204.1041666667","+0","0","","&B10000000","&B00000000"
"11323","41204.1076388889","+0","0","","&B10000000","&B00000000"
"11324","41204.1111111111","+0","0","","&B10000000","&B00000000"
"11325","41204.1145833333","+0","0","","&B10000000","&B00000000"
"11326","41204.1180555556","+0","0","","&B10000000","&B00000000"
"11327","41204.1215277778","+0","0","","&B10000000","&B00000000"
"11328","41204.125","+0","0","","&B10000000","&B00000000"
"11329","41204.1284722222","+0","0","","&B10000000","&B00000000"
"11330","41204.1319444444","+0","0","","&B10000000","&B00000000"
"11331","41204.1354166667","+0","0","","&B10000000","&B00000000"
"11332","41204.1388888889","+0","0","","&B10000000","&B00000000"
"11333","41204.1423611111","+0","0","","&B10000000","&B00000000"
"11334","41204.1458333333","+0","0","","&B10000000","&B00000000"
"11335","41204.1493055556","+0","0","","&B10000000","&B00000000"
"11336","41204.1527777778","+0","0","","&B10000000","&B00000000"
"11337","41204.15625","+0","0","","&B10000000","&B00000000"
"11338","41204.1597222222","+0","0","","&B10000000","&B00000000"
"11339","41204.1631944444","+0","0","","&B10000000","&B00000000"
"11340","41204.1666666667","+0","0","","&B10000000","&B00000000"
"11341","41204.1701388889","+0","0","","&B10000000","&B00000000"
"11342","41204.1736111111","+0","0","","&B10000000","&B00000000"
"11343","41204.1770833333","+0","0","","&B10000000","&B00000000"
"11344","41204.1805555556","+0","0","","&B10000000","&B00000000"
"11345","41204.1840277778","+0","0","","&B10000000","&B00000000"
"11346","41204.1875","+0","0","","&B10000000","&B00000000"
"11347","41204.1909722222","+0","0","","&B10000000","&B00000000"
"11348","41204.1944444444","+0","0","","&B10000000","&B00000000"
"11349","41204.1979166667","+0","0","","&B10000000","&B00000000"
"11350","41204.2013888889","+0","0","","&B10000000","&B00000000"
"11351","41204.2048611111","+0","0","","&B10000000","&B00000000"
"11352","41204.2083333333","+0","0","","&B10000000","&B00000000"
"11353","41204.2118055556","+0","0","","&B10000000","&B00000000"
"11354","41204.2152777778","+0","0","","&B10000000","&B00000000"
"11355","41204.21875","+0","0","","&B10000000","&B00000000"
"11356","41204.2222222222","+0","0","","&B10000000","&B00000000"
"11357","41204.2256944444","+0","0","","&B10000000","&B00000000"
"11358","41204.2291666667","+0","0","","&B10000000","&B00000000"
"11359","41204.2326388889","+0","0","","&B10000000","&B00000000"
"11360","41204.2361111111","+0","0","","&B10000000","&B00000000"
"11361","41204.2395833333","+0","0","","&B10000000","&B00000000"
"11362","41204.2430555556","+0","0","","&B10000000","&B00000000"
"11363","41204.2465277778","+0","0","","&B10000000","&B00000000"
"11364","41204.25","+0","0","","&B10000000","&B00000000"
"11365","41204.2534722222","+0","0","","&B10000000","&B00000000"
"11366","41204.2569444444","+0","0","","&B10000000","&B00000000"
"11367","41204.2604166667","+0","0","","&B10000000","&B00000000"
"11368","41204.2638888889","+0","0","","&B10000000","&B00000000"
"11369","41204.2673611111","+0","0","","&B10000000","&B00000000"
"11370","41204.2708333333","+0","0","","&B10000000","&B00000000"
"11371","41204.2743055556","+0","0","","&B10000000","&B00000000"
"11372","41204.2777777778","+0","0","","&B10000000","&B00000000"
"11373","41204.28125","+0","0","","&B10000000","&B00000000"
"11374","41204.2847222222","+0","0","","&B10000000","&B00000000"
"11375","41204.2881944444","+0","0","","&B10000000","&B00000000"
"11376","41204.2916666667","+0","0","","&B10000000","&B00000000"
"11377","41204.2951388889","+0","0","","&B10000000","&B00000000"
"11378","41204.2986111111","+0","0","","&B10000000","&B00000000"
"11379","41204.3020833333","+0","0","","&B10000000","&B00000000"
"11380","41204.3055555556","+0","0","","&B10000000","&B00000000"
"11381","41204.3090277778","+0","0","","&B10000000","&B00000000"
"11382","41204.3125","+0","0","","&B10000000","&B00000000"
"11383","41204.3159722222","+0","0","","&B10000000","&B00000000"
"11384","41204.3194444444","+0","0","","&B10000000","&B00000000"
"11385","41204.3229166667","+0","0","","&B10000000","&B00000000"
"11386","41204.3263888889","+0","0","","&B10000000","&B00000000"
"11387","41204.3298611111","+0","0","","&B10000000","&B00000000"
"11388","41204.3333333333","+0","0","","&B10000000","&B00000000"
"11389","41204.3368055556","+0","0","","&B10000000","&B00000000"
"11390","41204.3402777778","+0","0","","&B10000000","&B00000000"
"11391","41204.34375","+0","0","","&B10000000","&B00000000"
"11392","41204.3472222222","+0.005","0","","&B10000000","&B00000000"
"11393","41204.3506944444","+0","0","","&B10000000","&B00000000"
"11394","41204.3541666667","+0","0","","&B10000000","&B00000000"
"11395","41204.3576388889","+0","0","","&B10000000","&B00000000"
"11396","41204.3611111111","+0","0","","&B10000000","&B00000000"
"11397","41204.3645833333","+0","0","","&B10000000","&B00000000"
"11398","41204.3680555556","+0","0","","&B10000000","&B00000000"
"11399","41204.3715277778","+0","0","","&B10000000","&B00000000"
"11400","41204.375","+0","0","","&B10000000","&B00000000"
"11401","41204.3784722222","+0","0","","&B10000000","&B00000000"
"11402","41204.3819444444","+0","0","","&B10000000","&B00000000"
"11403","41204.3854166667","+0","0","","&B10000000","&B00000000"
"11404","41204.3888888889","+0","0","","&B10000000","&B00000000"
"11405","41204.3923611111","+0","0","","&B10000000","&B00000000"
"11406","41204.3958333333","+0","0","","&B10000000","&B00000000"
"11407","41204.3993055556","+0","0","","&B10000000","&B00000000"
"11408","41204.4027777778","+0","0","","&B10000000","&B00000000"
"11409","41204.40625","+0","0","","&B10000000","&B00000000"
"11410","41204.4097222222","+0","0","","&B10000000","&B00000000"
"11411","41204.4131944444","+0","0","","&B10000000","&B00000000"
"11412","41204.4166666667","+0","0","","&B10000000","&B00000000"
"11413","41204.4201388889","+0","0","","&B10000000","&B00000000"
"11414","41204.4236111111","+0","0","","&B10000000","&B00000000"
"11415","41204.4270833333","+0","0","","&B10000000","&B00000000"
"11416","41204.4305555556","+0","0","","&B10000000","&B00000000"
"11417","41204.4340277778","+0","0","","&B10000000","&B00000000"
"11418","41204.4375","+0","0","","&B10000000","&B00000000"
"11419","41204.4409722222","+0","0","","&B10000000","&B00000000"
"11420","41204.4444444444","+0","0","","&B10000000","&B00000000"
"11421","41204.4479166667","+0","0","","&B10000000","&B00000000"
"11422","41204.4513888889","+0","0","","&B10000000","&B00000000"
"11423","41204.4548611111","+0","0","","&B10000000","&B00000000"
"11424","41204.4583333333","+0","0","","&B10000000","&B00000000"
"11425","41204.4618055556","+0","0","","&B10000000","&B00000000"
"11426","41204.4652777778","+0","0","","&B10000000","&B00000000"
"11427","41204.46875","+0","0","","&B10000000","&B00000000"
"11428","41204.4722222222","+0","0","","&B10000000","&B00000000"
"11429","41204.4756944444","+0","0","","&B10000000","&B00000000"
"11430","41204.4791666667","+0","0","","&B10000000","&B00000000"
"11431","41204.4826388889","+0","0","","&B10000000","&B00000000"
"11432","41204.4861111111","+0","0","","&B10000000","&B00000000"
"11433","41204.4895833333","+0","0","","&B10000000","&B00000000"
"11434","41204.4930555556","+0","0","","&B10000000","&B00000000"
"11435","41204.4965277778","+0","0","","&B10000000","&B00000000"
"11436","41204.5","+0","0","","&B10000000","&B00000000"
"11437","41204.5034722222","+0","0","","&B10000000","&B00000000"
"11438","41204.5069444444","+0","0","","&B10000000","&B00000000"
"11439","41204.5104166667","+0","0","","&B10000000","&B00000000"
"11440","41204.5138888889","+0","0","","&B10000000","&B00000000"
"11441","41204.5173611111","+0","0","","&B10000000","&B00000000"
"11442","41204.5208333333","+0","0","","&B10000000","&B00000000"
"11443","41204.5243055556","+0","0","","&B10000000","&B00000000"
"11444","41204.5277777778","+0","0","","&B10000000","&B00000000"
"11445","41204.53125","+0","0","","&B10000000","&B00000000"
"11446","41204.5347222222","+0","0","","&B10000000","&B00000000"
"11447","41204.5381944444","+0","0","","&B10000000","&B00000000"
"11448","41204.5416666667","+0","0","","&B10000000","&B00000000"
"11449","41204.5451388889","+0","0","","&B10000000","&B00000000"
"11450","41204.5486111111","+0","0","","&B10000000","&B00000000"
"11451","41204.5520833333","+0","0","","&B10000000","&B00000000"
"11452","41204.5555555556","+0","0","","&B10000000","&B00000000"
"11453","41204.5590277778","+0","0","","&B10000000","&B00000000"
"11454","41204.5625","+0","0","","&B10000000","&B00000000"
"11455","41204.5659722222","+0","0","","&B10000000","&B00000000"
"11456","41204.5694444444","+0","0","","&B10000000","&B00000000"
"11457","41204.5729166667","+0","0","","&B10000000","&B00000000"
"11458","41204.5763888889","+0","0","","&B10000000","&B00000000"
"11459","41204.5798611111","+0","0","","&B10000000","&B00000000"
"11460","41204.5833333333","+0","0","","&B10000000","&B00000000"
"11461","41204.5868055556","+0","0","","&B10000000","&B00000000"
"11462","41204.5902777778","+0","0","","&B10000000","&B00000000"
"11463","41204.59375","+0","0","","&B10000000","&B00000000"
"11464","41204.5972222222","+0","0","","&B10000000","&B00000000"
"11465","41204.6006944444","+0","0","","&B10000000","&B00000000"
"11466","41204.6041666667","+0","0","","&B10000000","&B00000000"
"11467","41204.6076388889","+0.005","0","","&B10000000","&B00000000"
"11468","41204.6111111111","+0","0","","&B10000000","&B00000000"
"11469","41204.6145833333","+0","0","","&B10000000","&B00000000"
"11470","41204.6180555556","+0","0","","&B10000000","&B00000000"
"11471","41204.6215277778","+0","0","","&B10000000","&B00000000"
"11472","41204.625","+0","0","","&B10000000","&B00000000"
"11473","41204.6284722222","+0","0","","&B10000000","&B00000000"
"11474","41204.6319444444","+0","0","","&B10000000","&B00000000"
"11475","41204.6354166667","+0","0","","&B10000000","&B00000000"
"11476","41204.6388888889","+0","0","","&B10000000","&B00000000"
"11477","41204.6423611111","+0","0","","&B10000000","&B00000000"
"11478","41204.6458333333","+0","0","","&B10000000","&B00000000"
"11479","41204.6493055556","+0","0","","&B10000000","&B00000000"
"11480","41204.6527777778","+0.005","0","","&B10000000","&B00000000"
"11481","41204.65625","+0","0","","&B10000000","&B00000000"
"11482","41204.6597222222","+0.005","0","","&B10000000","&B00000000"
"11483","41204.6631944444","+0","0","","&B10000000","&B00000000"
"11484","41204.6666666667","+0","0","","&B10000000","&B00000000"
"11485","41204.6701388889","+0","0","","&B10000000","&B00000000"
"11486","41204.6736111111","+0","0","","&B10000000","&B00000000"
"11487","41204.6770833333","+0.005","0","","&B10000000","&B00000000"
"11488","41204.6805555556","+0","0","","&B10000000","&B00000000"
"11489","41204.6840277778","+0","0","","&B10000000","&B00000000"
"11490","41204.6875","+0","0","","&B10000000","&B00000000"
"11491","41204.6909722222","+0","0","","&B10000000","&B00000000"
"11492","41204.6944444444","+0","0","","&B10000000","&B00000000"
"11493","41204.6979166667","+0","0","","&B10000000","&B00000000"
"11494","41204.7013888889","+0","0","","&B10000000","&B00000000"
"11495","41204.7048611111","+0","0","","&B10000000","&B00000000"
"11496","41204.7083333333","+0","0","","&B10000000","&B00000000"
"11497","41204.7118055556","+0","0","","&B10000000","&B00000000"
"11498","41204.7152777778","+0.01","0","","&B10000000","&B00000000"
"11499","41204.71875","+0","0","","&B10000000","&B00000000"
"11500","41204.7222222222","+0","0","","&B10000000","&B00000000"
"11501","41204.7256944444","+0.02","0","","&B10000000","&B00000000"
"11502","41204.7291666667","+0.015","0","","&B10000000","&B00000000"
"11503","41204.7326388889","+0.02","0","","&B10000000","&B00000000"
"11504","41204.7361111111","+0.02","0","","&B10000000","&B00000000"
"11505","41204.7395833333","+0.115","0","","&B10000000","&B00000000"
"11506","41204.7430555556","+0.09","0","","&B10000000","&B00000000"
"11507","41204.7465277778","+0.065","0","","&B10000000","&B00000000"
"11508","41204.75","+0.05","0","","&B10000000","&B00000000"
"11509","41204.7534722222","+0.05","0","","&B10000000","&B00000000"
"11510","41204.7569444444","+0.04","0","","&B10000000","&B00000000"
"11511","41204.7604166667","+0.035","0","","&B10000000","&B00000000"
"11512","41204.7638888889","+0.035","0","","&B10000000","&B00000000"
"11513","41204.7673611111","+0.04","0","","&B10000000","&B00000000"
"11514","41204.7708333333","+0.035","0","","&B10000000","&B00000000"
"11515","41204.7743055556","+0.03","0","","&B10000000","&B00000000"
"11516","41204.7777777778","+0.03","0","","&B10000000","&B00000000"
"11517","41204.78125","+0.045","0","","&B10000000","&B00000000"
"11518","41204.7847222222","+0.045","0","","&B10000000","&B00000000"
"11519","41204.7881944444","+0.03","0","","&B10000000","&B00000000"
"11520","41204.7916666667","+0.03","0","","&B10000000","&B00000000"
"11521","41204.7951388889","+0.045","0","","&B10000000","&B00000000"
"11522","41204.7986111111","+0.04","0","","&B10000000","&B00000000"
"11523","41204.8020833333","+0.03","0","","&B10000000","&B00000000"
"11524","41204.8055555556","+0.03","0","","&B10000000","&B00000000"
"11525","41204.8090277778","+0.025","0","","&B10000000","&B00000000"
"11526","41204.8125","+0.03","0","","&B10000000","&B00000000"
"11527","41204.8159722222","+0.03","0","","&B10000000","&B00000000"
