%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0126"
"228","41165.5833333333","+0","0","","&B10000000","&B00000000"
"229","41165.5868055556","+0","0","","&B10000000","&B00000000"
"230","41165.5902777778","+0","0","","&B10000000","&B00000000"
"231","41165.59375","+0","0","","&B10000000","&B00000000"
"232","41165.5972222222","+0","0","","&B10000000","&B00000000"
"233","41165.6006944444","+0","0","","&B10000000","&B00000000"
"234","41165.6041666667","+0","0","","&B10000000","&B00000000"
"235","41165.6076388889","+0","0","","&B10000000","&B00000000"
"236","41165.6111111111","+0","0","","&B10000000","&B00000000"
"237","41165.6145833333","+0","0","","&B10000000","&B00000000"
"238","41165.6180555556","+0","0","","&B10000000","&B00000000"
"239","41165.6215277778","+0","0","","&B10000000","&B00000000"
"240","41165.625","+0","0","","&B10000000","&B00000000"
"241","41165.6284722222","+0","0","","&B10000000","&B00000000"
"242","41165.6319444444","+0","0","","&B10000000","&B00000000"
"243","41165.6354166667","+0","0","","&B10000000","&B00000000"
"244","41165.6388888889","+0","0","","&B10000000","&B00000000"
"245","41165.6423611111","-0.005","0","","&B10000000","&B00000000"
"246","41165.6458333333","+0","0","","&B10000000","&B00000000"
"247","41165.6493055556","+0","0","","&B10000000","&B00000000"
"248","41165.6527777778","+0","0","","&B10000000","&B00000000"
"249","41165.65625","+0","0","","&B10000000","&B00000000"
"250","41165.6597222222","+0","0","","&B10000000","&B00000000"
"251","41165.6631944444","+0","0","","&B10000000","&B00000000"
"252","41165.6666666667","+0","0","","&B10000000","&B00000000"
"253","41165.6701388889","+0","0","","&B10000000","&B00000000"
"254","41165.6736111111","+0","0","","&B10000000","&B00000000"
"255","41165.6770833333","+0","0","","&B10000000","&B00000000"
"256","41165.6805555556","+0","0","","&B10000000","&B00000000"
"257","41165.6840277778","+0","0","","&B10000000","&B00000000"
"258","41165.6875","+0","0","","&B10000000","&B00000000"
"259","41165.6909722222","+0","0","","&B10000000","&B00000000"
"260","41165.6944444444","+0","0","","&B10000000","&B00000000"
"261","41165.6979166667","+0","0","","&B10000000","&B00000000"
"262","41165.7013888889","+0","0","","&B10000000","&B00000000"
"263","41165.7048611111","+0","0","","&B10000000","&B00000000"
"264","41165.7083333333","+0","0","","&B10000000","&B00000000"
"265","41165.7118055556","+0","0","","&B10000000","&B00000000"
"266","41165.7152777778","+0","0","","&B10000000","&B00000000"
"267","41165.71875","+0","0","","&B10000000","&B00000000"
"268","41165.7222222222","+0","0","","&B10000000","&B00000000"
"269","41165.7256944444","+0","0","","&B10000000","&B00000000"
"270","41165.7291666667","+0","0","","&B10000000","&B00000000"
"271","41165.7326388889","+0","0","","&B10000000","&B00000000"
"272","41165.7361111111","+0","0","","&B10000000","&B00000000"
"273","41165.7395833333","+0","0","","&B10000000","&B00000000"
"274","41165.7430555556","+0","0","","&B10000000","&B00000000"
"275","41165.7465277778","+0","0","","&B10000000","&B00000000"
"276","41165.75","+0","0","","&B10000000","&B00000000"
"277","41165.7534722222","+0","0","","&B10000000","&B00000000"
"278","41165.7569444444","+0","0","","&B10000000","&B00000000"
"279","41165.7604166667","+0","0","","&B10000000","&B00000000"
"280","41165.7638888889","+0","0","","&B10000000","&B00000000"
"281","41165.7673611111","+0","0","","&B10000000","&B00000000"
"282","41165.7708333333","+0","0","","&B10000000","&B00000000"
"283","41165.7743055556","+0","0","","&B10000000","&B00000000"
"284","41165.7777777778","+0","0","","&B10000000","&B00000000"
"285","41165.78125","+0","0","","&B10000000","&B00000000"
"286","41165.7847222222","+0","0","","&B10000000","&B00000000"
"287","41165.7881944444","+0","0","","&B10000000","&B00000000"
"288","41165.7916666667","+0","0","","&B10000000","&B00000000"
"289","41165.7951388889","+0","0","","&B10000000","&B00000000"
"290","41165.7986111111","+0","0","","&B10000000","&B00000000"
"291","41165.8020833333","+0","0","","&B10000000","&B00000000"
"292","41165.8055555556","+0","0","","&B10000000","&B00000000"
"293","41165.8090277778","+0","0","","&B10000000","&B00000000"
"294","41165.8125","+0","0","","&B10000000","&B00000000"
"295","41165.8159722222","+0","0","","&B10000000","&B00000000"
"296","41165.8194444444","+0","0","","&B10000000","&B00000000"
"297","41165.8229166667","+0","0","","&B10000000","&B00000000"
"298","41165.8263888889","+0","0","","&B10000000","&B00000000"
"299","41165.8298611111","+0","0","","&B10000000","&B00000000"
"300","41165.8333333333","+0","0","","&B10000000","&B00000000"
"301","41165.8368055556","+0","0","","&B10000000","&B00000000"
"302","41165.8402777778","+0","0","","&B10000000","&B00000000"
"303","41165.84375","+0","0","","&B10000000","&B00000000"
"304","41165.8472222222","+0","0","","&B10000000","&B00000000"
"305","41165.8506944444","+0","0","","&B10000000","&B00000000"
"306","41165.8541666667","+0","0","","&B10000000","&B00000000"
"307","41165.8576388889","+0","0","","&B10000000","&B00000000"
"308","41165.8611111111","+0","0","","&B10000000","&B00000000"
"309","41165.8645833333","+0","0","","&B10000000","&B00000000"
"310","41165.8680555556","+0","0","","&B10000000","&B00000000"
"311","41165.8715277778","+0","0","","&B10000000","&B00000000"
"312","41165.875","+0","0","","&B10000000","&B00000000"
"313","41165.8784722222","+0","0","","&B10000000","&B00000000"
"314","41165.8819444444","+0","0","","&B10000000","&B00000000"
"315","41165.8854166667","+0","0","","&B10000000","&B00000000"
"316","41165.8888888889","+0","0","","&B10000000","&B00000000"
"317","41165.8923611111","+0","0","","&B10000000","&B00000000"
"318","41165.8958333333","+0","0","","&B10000000","&B00000000"
"319","41165.8993055556","+0","0","","&B10000000","&B00000000"
"320","41165.9027777778","+0","0","","&B10000000","&B00000000"
"321","41165.90625","+0","0","","&B10000000","&B00000000"
"322","41165.9097222222","+0","0","","&B10000000","&B00000000"
"323","41165.9131944444","+0","0","","&B10000000","&B00000000"
"324","41165.9166666667","+0","0","","&B10000000","&B00000000"
"325","41165.9201388889","+0","0","","&B10000000","&B00000000"
"326","41165.9236111111","+0","0","","&B10000000","&B00000000"
"327","41165.9270833333","+0","0","","&B10000000","&B00000000"
"328","41165.9305555556","+0","0","","&B10000000","&B00000000"
"329","41165.9340277778","+0","0","","&B10000000","&B00000000"
"330","41165.9375","+0","0","","&B10000000","&B00000000"
"331","41165.9409722222","+0","0","","&B10000000","&B00000000"
"332","41165.9444444444","+0","0","","&B10000000","&B00000000"
"333","41165.9479166667","+0","0","","&B10000000","&B00000000"
"334","41165.9513888889","+0","0","","&B10000000","&B00000000"
"335","41165.9548611111","+0","0","","&B10000000","&B00000000"
"336","41165.9583333333","-0.005","0","","&B10000000","&B00000000"
"337","41165.9618055556","+0","0","","&B10000000","&B00000000"
"338","41165.9652777778","+0","0","","&B10000000","&B00000000"
"339","41165.96875","+0","0","","&B10000000","&B00000000"
"340","41165.9722222222","+0","0","","&B10000000","&B00000000"
"341","41165.9756944444","+0","0","","&B10000000","&B00000000"
"342","41165.9791666667","+0","0","","&B10000000","&B00000000"
"343","41165.9826388889","+0","0","","&B10000000","&B00000000"
"344","41165.9861111111","+0","0","","&B10000000","&B00000000"
"345","41165.9895833333","+0","0","","&B10000000","&B00000000"
"346","41165.9930555556","+0","0","","&B10000000","&B00000000"
"347","41165.9965277778","+0","0","","&B10000000","&B00000000"
"348","41166","+0","0","","&B10000000","&B00000000"
"349","41166.0034722222","+0","0","","&B10000000","&B00000000"
"350","41166.0069444444","+0","0","","&B10000000","&B00000000"
"351","41166.0104166667","+0","0","","&B10000000","&B00000000"
"352","41166.0138888889","+0","0","","&B10000000","&B00000000"
"353","41166.0173611111","+0","0","","&B10000000","&B00000000"
"354","41166.0208333333","+0","0","","&B10000000","&B00000000"
"355","41166.0243055556","+0","0","","&B10000000","&B00000000"
"356","41166.0277777778","-0.005","0","","&B10000000","&B00000000"
"357","41166.03125","+0","0","","&B10000000","&B00000000"
"358","41166.0347222222","+0","0","","&B10000000","&B00000000"
"359","41166.0381944444","+0","0","","&B10000000","&B00000000"
"360","41166.0416666667","+0","0","","&B10000000","&B00000000"
"361","41166.0451388889","+0","0","","&B10000000","&B00000000"
"362","41166.0486111111","+0","0","","&B10000000","&B00000000"
"363","41166.0520833333","+0","0","","&B10000000","&B00000000"
"364","41166.0555555556","+0","0","","&B10000000","&B00000000"
"365","41166.0590277778","+0","0","","&B10000000","&B00000000"
"366","41166.0625","+0","0","","&B10000000","&B00000000"
"367","41166.0659722222","+0","0","","&B10000000","&B00000000"
"368","41166.0694444444","+0","0","","&B10000000","&B00000000"
"369","41166.0729166667","+0","0","","&B10000000","&B00000000"
"370","41166.0763888889","+0","0","","&B10000000","&B00000000"
"371","41166.0798611111","+0","0","","&B10000000","&B00000000"
"372","41166.0833333333","+0","0","","&B10000000","&B00000000"
"373","41166.0868055556","-0.005","0","","&B10000000","&B00000000"
"374","41166.0902777778","+0","0","","&B10000000","&B00000000"
"375","41166.09375","+0","0","","&B10000000","&B00000000"
"376","41166.0972222222","+0","0","","&B10000000","&B00000000"
"377","41166.1006944444","+0","0","","&B10000000","&B00000000"
"378","41166.1041666667","+0","0","","&B10000000","&B00000000"
"379","41166.1076388889","+0","0","","&B10000000","&B00000000"
"380","41166.1111111111","+0","0","","&B10000000","&B00000000"
"381","41166.1145833333","+0","0","","&B10000000","&B00000000"
"382","41166.1180555556","+0","0","","&B10000000","&B00000000"
"383","41166.1215277778","+0","0","","&B10000000","&B00000000"
"384","41166.125","+0","0","","&B10000000","&B00000000"
"385","41166.1284722222","+0","0","","&B10000000","&B00000000"
"386","41166.1319444444","+0","0","","&B10000000","&B00000000"
"387","41166.1354166667","+0","0","","&B10000000","&B00000000"
"388","41166.1388888889","+0","0","","&B10000000","&B00000000"
"389","41166.1423611111","+0","0","","&B10000000","&B00000000"
"390","41166.1458333333","+0","0","","&B10000000","&B00000000"
"391","41166.1493055556","+0","0","","&B10000000","&B00000000"
"392","41166.1527777778","+0","0","","&B10000000","&B00000000"
"393","41166.15625","+0","0","","&B10000000","&B00000000"
"394","41166.1597222222","+0","0","","&B10000000","&B00000000"
"395","41166.1631944444","+0","0","","&B10000000","&B00000000"
"396","41166.1666666667","+0","0","","&B10000000","&B00000000"
"397","41166.1701388889","+0","0","","&B10000000","&B00000000"
"398","41166.1736111111","+0","0","","&B10000000","&B00000000"
"399","41166.1770833333","+0","0","","&B10000000","&B00000000"
"400","41166.1805555556","+0","0","","&B10000000","&B00000000"
"401","41166.1840277778","+0","0","","&B10000000","&B00000000"
"402","41166.1875","+0","0","","&B10000000","&B00000000"
"403","41166.1909722222","+0","0","","&B10000000","&B00000000"
"404","41166.1944444444","+0","0","","&B10000000","&B00000000"
"405","41166.1979166667","+0","0","","&B10000000","&B00000000"
"406","41166.2013888889","+0","0","","&B10000000","&B00000000"
"407","41166.2048611111","+0","0","","&B10000000","&B00000000"
"408","41166.2083333333","+0","0","","&B10000000","&B00000000"
"409","41166.2118055556","-0.005","0","","&B10000000","&B00000000"
"410","41166.2152777778","+0","0","","&B10000000","&B00000000"
"411","41166.21875","+0","0","","&B10000000","&B00000000"
"412","41166.2222222222","+0","0","","&B10000000","&B00000000"
"413","41166.2256944444","+0","0","","&B10000000","&B00000000"
"414","41166.2291666667","+0","0","","&B10000000","&B00000000"
